t1B1c1, t1B1c1, t1C1c1, t1C1c1, t1D1c1, t1D1c1, t1E1c1, t1E1c1, t1F1c1, t1F1c1, t1G1c1, t1G1c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1684.44, 0.01871634, 1684.44, -0.00173359, 1684.44, -0.00126871, 1684.44, -0.00489194, 1684.44, -0.00156883, 1684.44, -0.00159649, 
1684.64, 0.01931168, 1684.64, -0.00173419, 1684.64, -0.00115323, 1684.64, -0.00462498, 1684.64, -0.0023157, 1684.64, -0.00129083, 
1684.84, 0.01928995, 1684.84, -0.0018002, 1684.84, -0.00183523, 1684.84, -0.00440913, 1684.84, -0.00223415, 1684.84, -0.00144158, 
1685.04, 0.02014076, 1685.04, -0.00193615, 1685.04, -0.00164454, 1685.04, -0.00398415, 1685.04, -0.00229521, 1685.04, -0.00161695, 
1685.24, 0.02166863, 1685.24, -0.00140264, 1685.24, -0.00159622, 1685.24, -0.00306326, 1685.24, -0.00132621, 1685.24, -0.00156231, 
1685.44, 0.02258522, 1685.44, -0.00121367, 1685.44, -0.00129439, 1685.44, -0.00269434, 1685.44, -0.00075689, 1685.44, -0.00202888, 
1685.64, 0.02318063, 1685.64, -0.00063931, 1685.64, -0.0015982, 1685.64, -0.00249372, 1685.64, -0.00024945, 1685.64, -0.00206251, 
1685.84, 0.02411035, 1685.84, 0.00019929, 1685.84, -0.00182551, 1685.84, -0.00221189, 1685.84, -0.0003385, 1685.84, -0.0019719, 
1686.04, 0.02446083, 1686.04, 0.0001024, 1686.04, -0.0022292, 1686.04, -0.00292606, 1686.04, -0.00088437, 1686.04, -0.00197808, 
1686.24, 0.02447515, 1686.24, -0.00001573, 1686.24, -0.00198613, 1686.24, -0.00265695, 1686.24, -0.00103401, 1686.24, -0.00183427, 
1686.44, 0.0250492, 1686.44, 0.00040368, 1686.44, -0.00131947, 1686.44, -0.00220785, 1686.44, -0.00071464, 1686.44, -0.00162191, 
1686.64, 0.02590101, 1686.64, 0.00076787, 1686.64, -0.00076443, 1686.64, -0.00191961, 1686.64, -0.00055419, 1686.64, -0.00184691, 
1686.84, 0.02639583, 1686.84, 0.00074489, 1686.84, -0.00084881, 1686.84, -0.00162816, 1686.84, -0.00023276, 1686.84, -0.00217489, 
1687.04, 0.02738891, 1687.04, 0.00114463, 1687.04, -0.00102158, 1687.04, -0.00163393, 1687.04, 0.00034722, 1687.04, -0.00194936, 
