<CorrectionSettings>
  <RootSensorByLocation>false</RootSensorByLocation>
  <SensorReference>
    <Plate Index="0" Size="96">
      <RefWells />
      <RefLoadWells />
      <RefDetectionWells />
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SensorReference>
  <SampleReference>
    <Plate Index="0" Size="96">
      <RefWells />
      <RefLoadWells />
      <RefDetectionWells />
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SampleReference>
  <AlignmentSettings>
    <AlignYCorrection>AverageBaseline</AlignYCorrection>
    <AlignYStart>115.007006835938</AlignYStart>
    <AlignYEnd>120.007006835938</AlignYEnd>
    <InterstepCorrection>None</InterstepCorrection>
    <InterstepCorrectionTime>0</InterstepCorrectionTime>
    <SavitzkyGolayFilter>true</SavitzkyGolayFilter>
  </AlignmentSettings>
</CorrectionSettings>
 Data Alignment: None
 Data Alignment Step: 0
t1A3c1, t1A3c1, t1B3c1, t1B3c1, t1C3c1, t1C3c1, t1D3c1, t1D3c1, t1E3c1, t1E3c1, t1F3c1, t1F3c1, t1G3c1, t1G3c1, t1H3c1, t1H3c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1A6, , p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , p1H6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1684.82, 0.0002841, 1684.82, 0.12293788, 1684.82, 0.00367328, 1684.82, 0.00433113, 1684.82, 0.00039808, 1684.82, 0.00066281, 1684.82, -0.00113072, 1684.82, -0.00022158, 
1685.02, -0.00016557, 1685.02, 0.12694137, 1685.02, 0.00406729, 1685.02, 0.00427895, 1685.02, 0.00062896, 1685.02, 0.00130981, 1685.02, -0.00140226, 1685.02, -0.0003923, 
1685.22, -0.00026998, 1685.22, 0.13091517, 1685.22, 0.00407727, 1685.22, 0.00412768, 1685.22, 0.00075995, 1685.22, 0.00119904, 1685.22, -0.00121978, 1685.22, -0.00064527, 
1685.42, -0.0003946, 1685.42, 0.13422718, 1685.42, 0.00384101, 1685.42, 0.00405086, 1685.42, 0.00121298, 1685.42, 0.00134141, 1685.42, -0.0007571, 1685.42, -0.00080862, 
1685.62, -0.00028532, 1685.62, 0.13763081, 1685.62, 0.0036585, 1685.62, 0.00387071, 1685.62, 0.00147735, 1685.62, 0.00172017, 1685.62, -0.00062851, 1685.62, -0.00074203, 
1685.82, -0.00025625, 1685.82, 0.14095963, 1685.82, 0.00345991, 1685.82, 0.00368471, 1685.82, 0.00129801, 1685.82, 0.00190237, 1685.82, -0.00073816, 1685.82, -0.00075489, 
1686.02, -0.00043102, 1686.02, 0.14464937, 1686.02, 0.00308731, 1686.02, 0.0034722, 1686.02, 0.00140564, 1686.02, 0.00207056, 1686.02, -0.00092016, 1686.02, -0.0005696, 
1686.22, -0.00011451, 1686.22, 0.14800411, 1686.22, 0.00311855, 1686.22, 0.00346633, 1686.22, 0.00148828, 1686.22, 0.0021255, 1686.22, -0.00092311, 1686.22, -0.00058954, 
1686.42, -0.00000115, 1686.42, 0.15103759, 1686.42, 0.00297954, 1686.42, 0.00350663, 1686.42, 0.00122648, 1686.42, 0.00218265, 1686.42, -0.00047219, 1686.42, -0.00052304, 
1686.62, 0.00009236, 1686.62, 0.15388419, 1686.62, 0.00338393, 1686.62, 0.00320528, 1686.62, 0.00129212, 1686.62, 0.0019897, 1686.62, -0.0006414, 1686.62, -0.0001624, 
