Temperature Log
Time (s), Plate
2023/01/25 15:47:21, 30.0000
2023/01/25 15:48:21, 30.0000
2023/01/25 15:49:21, 30.0000
2023/01/25 15:50:21, 30.0000
2023/01/25 15:51:21, 30.0000
2023/01/25 15:52:21, 30.0000
2023/01/25 15:53:21, 30.0000
2023/01/25 15:54:22, 30.0000
2023/01/25 15:55:22, 30.0000
2023/01/25 15:56:22, 30.0000
2023/01/25 15:57:22, 30.0000
2023/01/25 15:58:22, 30.0000
2023/01/25 15:58:29, 30.0000
2023/01/25 15:59:29, 30.0000
2023/01/25 16:00:29, 30.0000
2023/01/25 16:01:29, 30.0000
2023/01/25 16:02:29, 30.0000
2023/01/25 16:03:29, 30.0000
2023/01/25 16:04:29, 30.0000
2023/01/25 16:05:29, 30.0000
2023/01/25 16:06:29, 30.0000
2023/01/25 16:07:29, 30.0000
2023/01/25 16:08:29, 30.0000
2023/01/25 16:09:29, 30.0000
2023/01/25 16:10:29, 30.0000
2023/01/25 16:11:29, 30.0000
2023/01/25 16:12:30, 30.0000
2023/01/25 16:13:30, 30.0000
2023/01/25 16:14:30, 30.0000
2023/01/25 16:15:30, 30.0000
2023/01/25 16:16:30, 30.0000
2023/01/25 16:17:30, 30.0000
2023/01/25 16:18:30, 30.0000
2023/01/25 16:19:30, 30.0000
2023/01/25 16:20:30, 30.0000
2023/01/25 16:21:30, 30.0000
2023/01/25 16:22:30, 30.0000
2023/01/25 16:23:30, 30.0000
2023/01/25 16:24:30, 30.0000
2023/01/25 16:25:30, 30.0000
2023/01/25 16:26:30, 30.0000
2023/01/25 16:27:30, 30.0000
2023/01/25 16:28:30, 30.0000
2023/01/25 16:29:04, 30.0000

Signature=0xEBDF424E
